name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,brand,value_score
"Lloyd 1.0 Ton 2 Star Fixed Speed Split AC (Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White, GLS12C2XWASD)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41pKfo8B+xL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Copper-Anti-Viral-Filter-GLS12C2XWASD/dp/B0BRKY7H99/ref=sr_1_77?qid=1679134240&s=kitchen&sr=1-77,3.9,451.0,27499,46990,Lloyd,7051.025641025642
"Voltas 2 Ton 5 Star, Inverter Split AC(Copper,4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 245V Vectra Plus, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41M7ocgxanL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFWM5F9/ref=sr_1_78?qid=1679134240&s=kitchen&sr=1-78,4.1,145.0,57379,93990,Voltas,13994.878048780489
"Lloyd 1.5 Ton 4 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Golden Deco Strip, Glw18C4Ywgew)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61bAqnFCY8L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Golden-GLW18C4YWGEW/dp/B0BRKX5WWK/ref=sr_1_76?qid=1679134241&s=kitchen&sr=1-76,3.6,23.0,29799,50990,Lloyd,8277.5
"LG 2.0 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, 4 Way Swing, HD Filter with Anti-Vi...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q24ENXE/dp/B0BQ7GK9HW/ref=sr_1_78_mod_primary_new?qid=1679134241&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-78,2.7,3.0,52900,85990,LG,19592.59259259259
"Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elite, Wh...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-123V-Vectra-Elite/dp/B0BQR2FW4Y/ref=sr_1_79_mod_primary_new?qid=1679134241&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-79,4.5,3.0,30490,56990,Voltas,6775.555555555556
"AmazonBasics 1 Ton 3 Star Split Ac (White, Copper, Anti Corrosion Coating)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71Z9+rx576L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Split-Copper-corrosion-coating/dp/B0BCGLVSVW/ref=sr_1_81?qid=1679134241&s=kitchen&sr=1-81,3.7,3157.0,25990,49000,AmazonBasics,7024.324324324324
"Voltas 1.5 Ton 3 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 183V Vertis Elite, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Window-Copper/dp/B0BBFW95RD/ref=sr_1_82?qid=1679134241&s=kitchen&sr=1-82,3.0,2.0,33950,49990,Voltas,11316.666666666666
"Panasonic 1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61zXnk6ikEL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU12YKY4W/dp/B0BRHZ5L1Z/ref=sr_1_83?qid=1679134241&s=kitchen&sr=1-83,4.0,3.0,36990,50600,Panasonic,9247.5
"Samsung 2 Ton 3 Star Wi-fi Enabled Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51pSParNYHL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-bacterial-AR24CYLZABE/dp/B0BRQD4L93/ref=sr_1_85?qid=1679134241&s=kitchen&sr=1-85,4.0,8.0,53490,83990,Samsung,13372.5
"LG 1 Ton 5 Star AI+ DUAL Inverter Wi-Fi Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Prot...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61eO9hzoLzL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q14GWZE/dp/B0BQM9HRYK/ref=sr_1_86?qid=1679134241&s=kitchen&sr=1-86,4.3,274.0,42490,78990,LG,9881.39534883721
"Amazon Basics 1.5 Ton, 5 Star, Wi-Fi Enabled Smart(Alexa/Google Assistant), Twin Rotary Inverter Split AC (Copper Condense...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51s3yrWntML._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-1-5-Ton-Air-Conditioner/dp/B08J8SM4GD/ref=sr_1_87?qid=1679134241&s=kitchen&sr=1-87,3.4,39.0,34990,56179,Amazon,10291.176470588236
Hitachi Split Ac - 1.5 Ton Shizen 3100S  Inverter - R32 - RSQG318HFEOF (Gold),appliances,Air Conditioners,https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,https://www.amazon.in/SPLIT-AC-HITACHI-INVERTER-RSQG318HFEOF/dp/B0B14LQ2H5/ref=sr_1_91?qid=1679134241&s=kitchen&sr=1-91,4.0,2.0,35385,59700,Hitachi,8846.25
"Blue Star 0.8 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61QqYXeyX6L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA309GN/dp/B0BDMN6XJ3/ref=sr_1_92?qid=1679134241&s=kitchen&sr=1-92,4.1,178.0,24990,30000,Blue,6095.121951219513
Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF White),appliances,Air Conditioners,https://m.media-amazon.com/images/I/71ovlk0vAwL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Window-123-Lyi-LZF/dp/B00LWRFC1W/ref=sr_1_93?qid=1679134241&s=kitchen&sr=1-93,4.1,655.0,27990,29490,Voltas,6826.829268292683
"Cruise 1 Ton [Portable Antibacterial Coating, Dust Filter, Air Purifier, Dehumidifier Portable Ac (Copper, Cpcatf-Pq3S12, ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61wH+RMNHLL._AC_UL320_.jpg,https://www.amazon.in/Cruise-Portable-Control-CPCATF-PQ3S12-Exhaust/dp/B08954XBS7/ref=sr_1_94?qid=1679134241&s=kitchen&sr=1-94,3.4,81.0,29990,40900,Cruise,8820.588235294117
"Panasonic 2 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU24YKY4W/dp/B0BRHZM946/ref=sr_1_95?qid=1679134241&s=kitchen&sr=1-95,2.9,3.0,56990,77150,Panasonic,19651.724137931036
"Panasonic 2 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, Twin Cool, PM 0....",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61U+94m1YiL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-ZU24ZKYF/dp/B0BRJJ7QHZ/ref=sr_1_96?qid=1679134241&s=kitchen&sr=1-96,5.0,1.0,66990,87900,Panasonic,13398.0
"Blue Star 2 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Smart Ready, Auto Defrost, Multi Sensors,Stab...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41K8zEvR84L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Copper-IA324YNU/dp/B09RFZVLZH/ref=sr_1_97?qid=1679134241&s=kitchen&sr=1-97,4.0,43.0,48000,71750,Blue,12000.0
"Lloyd 1.5 Ton 2 Star Fixed Speed Split AC (Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White, GLS18C2XWASS)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41pKfo8B+xL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Copper-Anti-Viral-Filter-GLS18C2XWASS/dp/B0BRKY7D8X/ref=sr_1_98?qid=1679134241&s=kitchen&sr=1-98,4.1,234.0,33900,59990,Lloyd,8268.29268292683
"Carrier 1 Ton 3 Star Fixed Speed Split AC (Copper,Auto Cleanser, Economic Sleep Mode, High Density Filter for Dust Filtrat...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61IET4dPHRL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Split-Copper-ESTER-filter/dp/B0B67S3JH9/ref=sr_1_99?qid=1679134241&s=kitchen&sr=1-99,3.9,134.0,31990,54590,Carrier,8202.564102564103
Hitachi SPLIT AC - 1.0 Ton HITACHI SHIZEN 3100S INVERTER - R32 - RAPG312HFEOZ1 (Gold),appliances,Air Conditioners,https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,https://www.amazon.in/SPLIT-AC-HITACHI-INVERTER-RAPG312HFEOZ1/dp/B09WDTYJ54/ref=sr_1_101?qid=1679134241&s=kitchen&sr=1-101,3.7,97.0,30490,48200,Hitachi,8240.54054054054
